trip_distance_km,time_of_day,day_of_week,passenger_count,traffic_conditions,weather,base_fare,per_km_rate,per_minute_rate,trip_duration_minutes,trip_price
4.49,Morning,Weekday,3.0,Low,Clear,3.25,1.78,0.31,111.33,45.75449999999999
16.63,Evening,Weekday,2.0,Medium,Clear,2.77,1.15,0.32,17.94,27.6353
2.14,Afternoon,Weekend,4.0,High,Clear,4.01,0.79,0.25,43.3,16.525599999999997
40.91,Afternoon,Weekday,1.0,Medium,Clear,3.34,1.65,0.36,47.96,88.1071
14.81,Afternoon,Weekend,1.0,Low,Rain,3.46,0.9,0.12,29.64,20.3458
6.79,Morning,Weekend,3.0,Medium,Clear,2.61,1.65,0.12,72.29,22.4883
35.14,Afternoon,Weekend,2.0,Medium,Clear,3.88,0.81,0.28,55.94,48.006600000000006
31.82,Afternoon,Weekend,4.0,High,Rain,3.08,0.98,0.32,8.93,37.1212
44.0,Morning,Weekday,3.0,Low,Clear,4.99,1.2,0.46,41.76,76.9996
40.37,Afternoon,Weekday,1.0,High,Rain,3.46,1.9,0.43,84.32,116.42059999999998
14.82,Evening,Weekday,4.0,High,Clear,3.7,0.81,0.18,88.36,31.609
9.69,Morning,Weekday,2.0,Medium,Clear,4.75,1.04,0.26,85.28,37.0004
37.78,Night,Weekend,2.0,Medium,Clear,4.4,0.72,0.23,40.76,40.9764
40.53,Afternoon,Weekday,1.0,Medium,Clear,3.35,1.26,0.26,16.46,58.6974
49.53,Morning,Weekday,2.0,Medium,Clear,4.16,1.19,0.16,36.33,68.9135
21.22,Morning,Weekday,2.0,Medium,Clear,3.76,1.85,0.3,100.66,73.21499999999999
19.23,Morning,Weekday,3.0,Medium,Clear,3.48,1.9,0.42,117.75,89.472
39.04,Afternoon,Weekday,4.0,Medium,Clear,3.535,1.08,0.28,61.79,62.0444
17.7,Afternoon,Weekend,1.0,Medium,Clear,3.39,1.24,0.3,6.12,27.174
46.61,Evening,Weekday,1.0,High,Clear,2.74,1.84,0.44,21.11,97.7908
43.06,Afternoon,Weekday,1.0,Low,Clear,4.74,1.71,0.38,42.04,94.3478
37.79,Afternoon,Weekday,1.0,Medium,Clear,4.86,0.98,0.2,13.64,44.6222
37.97,Evening,Weekday,2.0,High,Rain,3.6,1.13,0.45,113.49,97.57659999999998
6.05,Morning,Weekday,3.0,Medium,Clear,3.89,0.84,0.33,46.98,24.4754
25.76,Morning,Weekday,3.0,High,Clear,2.39,0.56,0.21,94.76,36.7152
41.5,Evening,Weekday,3.0,Low,Clear,3.13,1.47,0.42,91.88,102.72459999999998
44.88,Afternoon,Weekday,1.0,Medium,Clear,3.87,0.58,0.5,77.08,68.4404
20.07,Evening,Weekday,2.0,Medium,Snow,3.34,0.85,0.15,78.37,32.155
45.36,Afternoon,Weekend,2.0,Medium,Rain,2.66,1.78,0.26,68.68,101.2576
104.37179088913676,Afternoon,Weekday,1.0,Low,Rain,3.22,1.12,0.45,89.21,206.50865196831717
47.55,Morning,Weekday,4.0,Low,Clear,4.78,1.97,0.27,94.35,123.928
47.58,Morning,Weekday,3.0,Low,Clear,4.13,0.8,0.31,105.33,74.8463
29.1,Morning,Weekday,4.0,High,Clear,3.26,0.82,0.12,29.8,30.698
31.96,Afternoon,Weekday,3.0,High,Clear,3.55,0.94,0.29,14.64,35.0564
22.97,Night,Weekend,2.0,Low,Rain,2.25,0.76,0.2,60.53,31.8132
15.37,Morning,Weekday,1.0,Low,Clear,4.95,1.07,0.37,64.12,45.1203
37.87,Night,Weekday,1.0,High,Clear,3.76,1.21,0.26,70.65,64.5434
5.47,Morning,Weekend,1.0,Medium,Clear,2.52,0.82,0.17,75.75,19.8829
25.23,Morning,Weekday,3.0,Low,Rain,3.94,1.35,0.13,100.22,51.0291
27.93,Night,Weekend,4.0,Low,Clear,4.15,0.56,0.2,73.35,34.4608
44.5,Night,Weekend,4.0,Medium,Clear,4.02,1.47,0.45,23.88,80.18099999999998
6.74,Evening,Weekend,4.0,Low,Rain,4.68,1.46,0.17,117.71,34.5311
8.01,Afternoon,Weekday,3.0,High,Clear,3.535,0.98,0.43,50.28,31.7102
38.31,Afternoon,Weekend,1.0,Low,Clear,2.99,0.64,0.41,31.15,40.2799
31.29,Afternoon,Weekend,1.0,Medium,Snow,2.74,1.14,0.34,24.7,46.8086
5.96,Afternoon,Weekday,2.0,Low,Clear,4.96,0.69,0.23,81.77,27.8795
5.12,Morning,Weekend,4.0,Low,Clear,3.17,1.92,0.21,75.09,28.7693
35.35,Morning,Weekday,1.0,Medium,Clear,4.2,1.21,0.15,79.01,58.825
4.57,Afternoon,Weekday,2.0,Medium,Rain,4.05,0.98,0.3,15.12,13.0646
41.27,Evening,Weekday,1.0,Low,Clear,2.64,1.65,0.33,107.76,106.2963
5.16,Night,Weekday,2.0,Medium,Clear,3.23,1.72,0.25,58.17,26.6477
49.35,Morning,Weekday,2.0,Low,Clear,2.7,1.8,0.36,49.86,109.4796
19.34,Afternoon,Weekend,2.0,Low,Clear,2.06,1.51,0.46,104.31,79.24600000000001
19.16,Afternoon,Weekend,2.0,Low,Clear,4.64,0.57,0.29,111.87,34.5791
40.83,Evening,Weekday,1.0,Low,Rain,4.9,1.35,0.29,39.9,69.99549999999999
47.42,Morning,Weekday,2.0,Low,Rain,3.02,1.64,0.16,104.35,97.4848
37.92,Evening,Weekday,2.0,Medium,Rain,2.02,0.84,0.39,112.04,77.56840000000001
28.36,Afternoon,Weekend,3.0,High,Clear,2.48,1.21,0.13,99.77,49.7657
21.79,Evening,Weekday,2.0,High,Clear,4.37,1.17,0.34,5.61,31.7717
45.41,Afternoon,Weekday,2.0,Low,Clear,3.85,0.51,0.12,69.95,35.4031
6.45,Morning,Weekday,2.0,Low,Clear,2.13,1.73,0.46,44.01,33.5331
25.14,Night,Weekday,3.0,High,Rain,3.87,1.04,0.31,42.11,43.069700000000005
1.56,Afternoon,Weekday,4.0,High,Clear,2.93,1.31,0.37,79.16,34.2628
23.96,Afternoon,Weekday,3.0,Low,Clear,3.11,1.52,0.43,102.92,83.7848
3.76,Morning,Weekday,4.0,Low,Clear,4.31,1.55,0.16,75.06,22.1476
6.82,Afternoon,Weekday,2.0,Low,Clear,4.43,1.93,0.12,103.11,29.965799999999994
6.76,Afternoon,Weekend,2.0,Medium,Clear,3.2,1.3,0.45,35.43,27.9315
37.56,Morning,Weekday,4.0,Low,Clear,3.22,1.93,0.15,56.81,84.23230000000001
29.59,Afternoon,Weekday,3.0,Medium,Rain,4.32,1.46,0.29,6.34,49.36
48.15,Night,Weekday,2.0,Low,Clear,3.45,0.95,0.34,69.03,72.6627
19.37,Morning,Weekday,3.0,Medium,Clear,4.69,0.69,0.11,81.08,26.9741
15.0,Night,Weekday,3.0,Low,Snow,4.72,1.76,0.21,73.07,46.46469999999999
43.56,Afternoon,Weekday,3.0,Low,Rain,2.26,1.04,0.11,89.67,57.426100000000005
11.96,Evening,Weekday,2.0,Medium,Snow,4.81,1.49,0.27,70.7,41.71940000000001
48.2,Afternoon,Weekday,3.0,Low,Clear,4.48,1.21,0.46,12.68,68.63480000000001
48.52,Evening,Weekend,2.0,Medium,Clear,2.6,1.4,0.35,73.59,96.2845
3.11,Evening,Weekend,3.0,Low,Clear,4.42,0.59,0.16,36.62,12.1141
44.67,Afternoon,Weekend,2.0,Medium,Rain,4.55,1.12,0.46,14.16,61.09400000000001
26.86,Afternoon,Weekday,4.0,Low,Clear,2.87,1.32,0.31,54.4,55.1892
49.66,Afternoon,Weekend,4.0,High,Clear,4.86,1.15,0.16,68.75,72.969
28.14,Evening,Weekend,3.0,Medium,Clear,2.45,1.21,0.4,87.85,86.5536
48.5,Evening,Weekday,1.0,Low,Clear,3.61,1.66,0.39,79.03,114.9417
26.63,Afternoon,Weekend,1.0,Medium,Clear,3.73,0.56,0.38,43.27,35.08540000000001
31.84,Evening,Weekday,3.0,High,Snow,3.94,0.79,0.18,91.81,45.6194
107.78683195771164,Morning,Weekend,1.0,High,Clear,2.05,1.3,0.18,79.6,322.7259960920446
23.27,Afternoon,Weekend,2.0,Low,Clear,4.88,1.9,0.38,78.31,78.85079999999999
31.75,Morning,Weekday,1.0,Low,Rain,2.13,1.75,0.19,68.64,70.7341
29.63,Afternoon,Weekday,3.0,High,Clear,2.43,1.76,0.28,6.31,56.345600000000005
45.16,Afternoon,Weekend,3.0,High,Clear,2.04,1.21,0.41,85.1,79.833
3.23,Afternoon,Weekday,2.0,Low,Rain,3.7,1.14,0.41,48.24,27.1606
14.77,Afternoon,Weekend,4.0,Medium,Clear,4.8,1.21,0.28,113.4,54.42370000000001
47.57,Afternoon,Weekday,2.0,Low,Rain,4.0,0.74,0.42,99.07,80.81119999999999
44.62,Afternoon,Weekday,2.0,High,Rain,4.47,0.55,0.44,72.58,60.9462
23.33,Morning,Weekday,1.0,Low,Snow,2.04,1.92,0.29,34.0,59.0736
31.39,Afternoon,Weekday,1.0,Low,Clear,3.63,0.86,0.19,28.43,36.0271
14.59,Morning,Weekend,2.0,Medium,Clear,3.535,0.86,0.21,44.14,25.1968
10.22,Morning,Weekday,2.0,Low,Clear,3.5,0.63,0.23,59.81,23.694900000000004
23.72,Afternoon,Weekday,3.0,Medium,Clear,2.22,1.89,0.15,39.05,52.9083
18.31,Afternoon,Weekday,1.0,Medium,Rain,4.05,1.37,0.21,64.22,42.6209
29.6,Afternoon,Weekday,2.0,Low,Clear,3.51,1.5,0.18,24.02,52.2336
4.81,Afternoon,Weekend,1.0,Low,Clear,4.3,1.87,0.28,117.44,46.1779
48.75,Afternoon,Weekend,2.0,Medium,Rain,3.46,1.02,0.46,17.41,61.1936
49.32,Evening,Weekday,1.0,Low,Clear,2.45,1.43,0.14,112.17,88.6814
35.21,Afternoon,Weekend,4.0,Medium,Clear,3.94,0.56,0.39,110.06,66.581
27.27,Afternoon,Weekend,3.0,High,Clear,2.52,0.78,0.37,65.42,47.996
40.88,Afternoon,Weekend,4.0,Low,Clear,3.535,1.65,0.47,55.15,97.2125
8.97,Afternoon,Weekday,1.0,Low,Clear,4.89,1.07,0.25,44.17,25.5304
45.64,Afternoon,Weekend,4.0,Low,Rain,3.56,1.3,0.4,39.63,78.744
41.3,Afternoon,Weekday,1.0,Medium,Rain,2.22,1.21,0.2,71.5,37.17
31.06,Evening,Weekday,4.0,Low,Clear,4.41,0.88,0.44,37.97,48.4496
21.49,Evening,Weekend,4.0,Low,Rain,4.45,1.71,0.28,47.2,54.4139
46.7,Night,Weekday,2.0,Medium,Clear,4.94,1.21,0.35,14.65,53.0315
43.44,Morning,Weekday,1.0,Low,Clear,3.51,0.79,0.19,11.01,39.9195
2.29,Morning,Weekend,1.0,Low,Clear,4.26,1.8,0.41,13.54,13.9334
19.45,Afternoon,Weekday,1.0,High,Clear,2.4,0.86,0.29,16.93,24.0367
40.72,Evening,Weekday,2.0,High,Clear,3.64,0.62,0.35,98.49,63.3579
49.38,Morning,Weekday,1.0,Low,Clear,3.64,1.03,0.28,9.47,57.153000000000006
8.37,Night,Weekend,3.0,Low,Rain,2.27,1.62,0.29,80.78,52.9882
30.11,Morning,Weekday,3.0,Medium,Clear,3.25,1.33,0.3,36.34,54.1983
19.66,Night,Weekday,2.0,Low,Clear,4.56,1.73,0.44,105.23,84.873
48.53,Afternoon,Weekday,1.0,Medium,Snow,4.57,1.94,0.29,60.77,124.2416
42.26,Morning,Weekday,3.0,High,Rain,2.3,1.69,0.26,40.14,84.1558
42.08,Afternoon,Weekend,1.0,Medium,Rain,2.27,1.41,0.19,64.53,73.86349999999999
23.97,Morning,Weekday,1.0,High,Clear,2.79,1.24,0.26,48.93,45.2346
21.33,Morning,Weekday,1.0,Low,Clear,4.62,0.56,0.43,69.89,46.61750000000001
14.4,Afternoon,Weekend,2.0,Low,Clear,2.39,1.98,0.19,18.17,34.3543
3.76,Evening,Weekday,2.0,Medium,Rain,4.16,1.08,0.31,119.65,45.31230000000001
43.37,Afternoon,Weekend,3.0,Low,Clear,2.3,0.73,0.42,53.94,56.61489999999999
40.83,Afternoon,Weekday,1.0,Medium,Clear,3.87,1.5,0.24,45.05,75.92699999999999
49.99,Afternoon,Weekend,3.0,Low,Clear,3.07,0.93,0.36,86.67,80.7619
139.476514583775,Evening,Weekday,1.0,Low,Clear,4.37,1.38,0.2,46.85,296.0886973121837
28.22,Morning,Weekday,3.0,High,Clear,2.7,1.38,0.14,100.83,55.7598
38.68,Afternoon,Weekend,2.0,Low,Clear,3.92,1.17,0.42,57.24,73.2164
47.29,Morning,Weekend,1.0,High,Clear,2.71,1.75,0.14,87.75,97.75249999999998
42.63,Morning,Weekend,1.0,High,Clear,4.14,1.21,0.21,17.36,46.15260000000001
13.12,Afternoon,Weekday,3.0,Medium,Snow,4.62,1.17,0.44,102.3,64.9824
23.08,Morning,Weekend,4.0,Medium,Rain,2.38,1.31,0.24,89.61,54.1212
7.33,Afternoon,Weekend,2.0,Medium,Rain,4.6,1.5,0.49,29.35,29.9765
30.7,Morning,Weekend,4.0,Low,Clear,2.38,1.09,0.21,41.37,44.5307
12.2,Afternoon,Weekend,1.0,Medium,Clear,3.28,1.47,0.12,117.25,35.284
33.91,Morning,Weekday,2.0,Medium,Clear,2.48,0.73,0.38,34.54,40.3595
31.29,Night,Weekday,2.0,Medium,Clear,4.1,1.9,0.28,57.45,79.637
6.56,Evening,Weekday,4.0,Low,Clear,2.32,1.59,0.38,50.68,32.0088
26.5,Morning,Weekday,1.0,High,Clear,4.44,0.81,0.45,114.61,77.4795
38.84,Afternoon,Weekday,1.0,Low,Clear,4.81,1.23,0.29,64.42,62.89040000000001
26.49,Night,Weekday,1.0,High,Clear,3.54,1.82,0.15,99.2,66.6318
42.76,Afternoon,Weekday,2.0,Medium,Rain,4.85,1.29,0.17,67.92,71.5568
28.04,Evening,Weekend,4.0,High,Clear,3.61,1.89,0.48,9.69,61.2568
28.49,Evening,Weekend,2.0,Medium,Clear,3.18,1.23,0.38,41.23,53.8901
43.96,Morning,Weekday,3.0,Medium,Clear,4.54,1.24,0.42,71.19,88.9502
7.57,Afternoon,Weekday,3.0,High,Clear,3.42,1.7,0.23,103.8,40.163
2.41,Afternoon,Weekday,2.0,Low,Clear,3.47,0.87,0.19,31.26,11.5061
38.0,Evening,Weekday,2.0,High,Clear,4.54,1.85,0.29,30.31,83.6299
31.4,Night,Weekday,3.0,Low,Clear,4.5,1.87,0.32,28.13,72.2196
35.5,Afternoon,Weekend,2.0,Low,Rain,3.21,1.91,0.35,111.09,109.89649999999996
11.44,Morning,Weekend,1.0,Low,Rain,3.0,1.28,0.2,103.06,38.2552
7.68,Evening,Weekday,3.0,Medium,Clear,3.48,1.52,0.48,94.11,60.32639999999999
1.71,Morning,Weekday,3.0,Low,Clear,3.72,1.67,0.17,50.16,15.1029
18.18,Evening,Weekday,2.0,High,Rain,2.72,0.7,0.49,63.0,46.316
29.91,Afternoon,Weekday,1.0,Low,Clear,4.38,1.4,0.11,58.4,52.678
20.22,Afternoon,Weekday,1.0,Low,Clear,3.46,0.55,0.29,34.14,24.4816
22.44,Morning,Weekday,3.0,High,Clear,3.0,1.25,0.23,63.08,45.5584
45.3,Afternoon,Weekend,3.0,Medium,Rain,2.32,0.73,0.28,8.51,37.7718
18.06,Afternoon,Weekend,3.0,High,Clear,2.72,0.77,0.33,20.16,23.279
26.19,Afternoon,Weekday,1.0,Low,Clear,4.85,1.05,0.27,106.96,61.2287
39.4,Afternoon,Weekend,2.0,Medium,Rain,2.92,1.15,0.27,91.44,72.9188
20.43,Evening,Weekday,2.0,Medium,Clear,2.51,1.43,0.39,53.63,52.6406
31.48,Evening,Weekday,1.0,Medium,Clear,3.38,0.61,0.37,64.47,46.4367
43.26,Morning,Weekday,4.0,Medium,Snow,2.92,1.26,0.43,47.55,77.8741
47.53,Morning,Weekday,2.0,Medium,Clear,2.11,0.77,0.2,90.19,56.7461
8.21,Morning,Weekend,3.0,Medium,Clear,2.97,1.36,0.34,95.18,46.49680000000001
46.4,Afternoon,Weekday,4.0,Low,Clear,3.63,1.46,0.33,92.78,101.9914
25.11,Afternoon,Weekday,4.0,Medium,Clear,3.66,1.34,0.25,88.1,59.3324
23.5,Morning,Weekday,4.0,Medium,Clear,3.34,1.0,0.23,43.87,36.9301
49.02,Afternoon,Weekend,4.0,Low,Clear,4.9,1.65,0.16,59.03,95.2278
25.14,Afternoon,Weekday,2.0,Medium,Rain,3.13,1.15,0.19,43.04,40.2186
12.77,Morning,Weekday,3.0,Low,Clear,3.37,0.53,0.29,20.9,17.662100000000002
4.72,Afternoon,Weekday,1.0,Low,Rain,4.28,1.48,0.48,50.89,35.6928
7.32,Afternoon,Weekday,4.0,Medium,Clear,2.62,1.43,0.39,117.69,58.9867
122.82019097975328,Afternoon,Weekday,2.0,High,Clear,4.13,0.96,0.12,30.98,247.5983178992313
8.44,Evening,Weekend,3.0,Low,Clear,2.06,0.63,0.45,75.4,41.30720000000001
32.4,Night,Weekend,4.0,Low,Clear,4.33,1.88,0.28,13.17,68.9296
9.91,Morning,Weekday,1.0,Medium,Rain,3.02,1.53,0.33,61.11,38.348600000000005
17.94,Morning,Weekday,1.0,High,Clear,3.69,0.69,0.49,85.75,58.0861
44.94,Evening,Weekday,1.0,Low,Clear,2.61,1.04,0.31,64.02,69.1938
33.71,Morning,Weekday,2.0,Low,Rain,3.535,1.75,0.13,38.23,66.1224
9.44,Morning,Weekday,1.0,Low,Clear,4.56,0.57,0.18,14.92,12.6264
10.42,Morning,Weekday,1.0,Low,Clear,3.535,0.85,0.28,112.71,43.0058
3.0,Evening,Weekday,2.0,Low,Clear,4.62,1.83,0.33,48.49,26.111700000000003
9.28,Morning,Weekday,3.0,Medium,Clear,3.06,0.51,0.43,71.29,38.447500000000005
14.65,Afternoon,Weekday,4.0,Medium,Clear,4.17,0.8,0.5,96.08,63.93
9.67,Morning,Weekend,4.0,Medium,Clear,2.96,1.94,0.26,42.3,32.7178
5.35,Afternoon,Weekday,1.0,Low,Clear,4.72,1.42,0.12,87.36,22.8002
6.91,Morning,Weekday,3.0,Low,Clear,2.38,0.89,0.42,20.57,17.1693
23.58,Afternoon,Weekday,2.0,Medium,Clear,2.54,0.6,0.34,38.5,29.778
18.85,Afternoon,Weekday,3.0,Low,Clear,2.25,0.87,0.3,98.29,48.1365
25.67,Morning,Weekend,3.0,High,Clear,2.59,1.82,0.4,30.6,61.54940000000001
34.83,Afternoon,Weekday,3.0,Medium,Snow,4.83,1.12,0.41,87.5,79.71459999999999
2.93,Evening,Weekend,2.0,Medium,Snow,4.93,1.58,0.3,113.48,43.60339999999999
40.17,Afternoon,Weekday,2.0,Medium,Rain,3.13,1.88,0.22,65.69,93.1014
31.77,Afternoon,Weekday,4.0,Low,Clear,4.77,1.11,0.49,67.1,72.9137
5.01,Afternoon,Weekend,4.0,Low,Rain,3.63,0.79,0.37,58.02,29.055300000000003
43.81,Afternoon,Weekday,3.0,Medium,Clear,2.81,1.28,0.26,42.48,69.9316
46.12,Afternoon,Weekday,3.0,Low,Clear,4.11,1.86,0.21,59.7,102.4302
138.76388715029725,Night,Weekday,2.0,High,Clear,3.98,1.71,0.39,74.32,332.0436886774302
14.57,Afternoon,Weekday,4.0,Medium,Clear,4.97,0.6,0.29,118.39,37.39
40.5,Afternoon,Weekend,3.0,Low,Rain,2.8,1.54,0.29,112.84,84.3528
37.66,Evening,Weekday,4.0,Medium,Clear,4.02,1.36,0.31,104.15,87.5241
10.04,Afternoon,Weekend,2.0,Low,Clear,2.16,1.86,0.22,107.25,44.4294
11.26,Morning,Weekend,3.0,Medium,Rain,2.34,0.68,0.29,58.8,30.5768
19.15,Afternoon,Weekday,2.0,Medium,Clear,2.01,1.3,0.15,80.61,38.9965
24.74,Night,Weekend,3.0,High,Clear,5.0,1.82,0.36,107.93,88.8816
19.08,Afternoon,Weekend,4.0,Medium,Clear,4.36,1.22,0.1,115.6,39.1976
23.66,Morning,Weekday,3.0,Medium,Clear,3.53,0.61,0.15,52.82,25.8856
37.63,Afternoon,Weekday,2.0,High,Clear,2.9,0.92,0.29,74.12,72.356
2.8,Morning,Weekday,3.0,Low,Clear,2.45,1.21,0.45,86.63,44.2055
13.37,Afternoon,Weekday,2.0,Low,Rain,2.85,1.92,0.19,114.32,50.2412
35.95,Evening,Weekday,2.0,Low,Clear,3.13,0.92,0.41,33.13,49.78730000000001
27.07,Evening,Weekday,1.0,Medium,Clear,2.23,0.74,0.25,35.88,31.2318
6.25,Night,Weekend,4.0,Medium,Snow,2.05,1.23,0.37,94.31,44.6322
22.92,Morning,Weekday,3.0,Low,Clear,2.31,1.61,0.13,68.51,48.11750000000001
12.88,Morning,Weekend,2.0,Low,Clear,4.8,1.44,0.49,42.13,43.9909
19.49,Night,Weekend,4.0,Medium,Rain,4.41,0.69,0.22,76.0,34.5781
11.36,Afternoon,Weekend,1.0,Low,Clear,3.535,1.66,0.36,115.59,62.8
6.87,Morning,Weekday,4.0,High,Clear,4.35,1.9,0.48,89.4,60.315
44.64,Evening,Weekday,1.0,Medium,Rain,2.5,1.58,0.11,52.27,78.7809
30.09,Morning,Weekend,2.0,Low,Clear,3.54,1.63,0.22,45.84,62.6715
39.67,Evening,Weekday,1.0,Medium,Clear,3.88,1.16,0.23,52.06,61.871
25.42,Evening,Weekday,4.0,Medium,Clear,4.84,1.43,0.2,67.58,54.7066
5.26,Morning,Weekday,1.0,Low,Clear,3.74,1.65,0.31,67.5,33.344
27.32,Afternoon,Weekday,2.0,Low,Clear,3.62,0.66,0.43,62.17,48.3843
29.76,Morning,Weekday,3.0,Medium,Rain,2.15,1.94,0.14,20.5,62.7544
37.53,Afternoon,Weekday,4.0,Low,Rain,2.19,1.84,0.48,62.05,101.0292
22.15,Morning,Weekend,2.0,Low,Clear,2.56,0.91,0.42,24.45,32.985499999999995
7.25,Night,Weekday,2.0,Low,Clear,2.1,1.73,0.17,19.51,17.9592
14.91,Afternoon,Weekend,1.0,Medium,Clear,4.23,1.28,0.38,112.25,65.9698
18.79,Afternoon,Weekend,3.0,High,Rain,4.17,1.19,0.25,74.57,45.1726
28.97,Afternoon,Weekday,3.0,Medium,Clear,4.51,1.37,0.41,51.21,65.195
18.45,Afternoon,Weekday,4.0,Medium,Clear,2.46,1.59,0.49,109.53,85.4652
49.34,Afternoon,Weekend,4.0,Low,Clear,3.535,1.12,0.15,78.36,69.91480000000001
30.68,Night,Weekday,1.0,Medium,Clear,2.75,1.44,0.27,93.45,72.16069999999999
12.62,Afternoon,Weekday,3.0,Low,Clear,3.12,1.55,0.29,47.38,36.4212
5.99,Night,Weekday,3.0,Medium,Clear,2.76,1.57,0.25,115.4,41.014300000000006
13.05,Morning,Weekday,1.0,Low,Clear,3.22,1.79,0.12,103.2,38.9635
8.87,Night,Weekday,3.0,Low,Clear,4.96,1.19,0.37,24.8,24.6913
14.97,Evening,Weekday,2.0,Low,Rain,2.43,0.86,0.18,37.85,22.1172
9.5,Afternoon,Weekday,1.0,Low,Clear,2.16,1.22,0.43,36.15,29.2945
4.93,Evening,Weekend,1.0,Medium,Clear,2.16,1.07,0.29,8.67,9.9494
26.7,Evening,Weekday,4.0,Medium,Clear,4.51,1.62,0.22,13.75,50.789
21.11,Evening,Weekend,3.0,High,Clear,3.54,0.65,0.36,36.5,30.4015
49.14,Afternoon,Weekday,3.0,High,Rain,3.58,1.21,0.22,27.99,69.1972
20.49,Afternoon,Weekday,1.0,High,Clear,2.51,1.66,0.39,96.76,74.2598
43.41,Afternoon,Weekday,2.0,Low,Rain,2.96,1.25,0.14,5.66,58.0149
41.04,Afternoon,Weekday,2.0,Medium,Clear,3.78,0.85,0.1,54.37,44.101
13.64,Night,Weekend,2.0,Medium,Rain,2.63,1.11,0.16,51.91,26.076
9.37,Afternoon,Weekday,1.0,Medium,Clear,2.35,1.67,0.13,18.1,20.3509
33.76,Evening,Weekday,1.0,Low,Rain,3.535,1.66,0.5,82.76,102.3316
46.54,Morning,Weekday,2.0,Low,Rain,2.07,0.84,0.22,85.74,60.0264
28.28,Evening,Weekday,2.0,Medium,Rain,4.41,1.88,0.16,87.9,71.6404
29.01,Afternoon,Weekday,2.0,Low,Clear,4.36,1.39,0.2,88.77,62.4379
14.72,Afternoon,Weekday,4.0,Medium,Clear,2.89,1.07,0.47,5.01,20.9951
38.71,Afternoon,Weekday,2.0,Medium,Rain,2.41,1.25,0.31,114.7,86.3545
10.17,Evening,Weekday,1.0,Medium,Clear,3.535,1.41,0.25,98.63,41.4372
16.86,Morning,Weekday,1.0,Medium,Clear,4.09,1.34,0.45,108.96,75.7144
21.85,Afternoon,Weekday,3.0,High,Rain,3.93,1.23,0.26,6.8,32.5735
25.87,Afternoon,Weekday,2.0,Low,Rain,4.35,1.26,0.23,112.39,62.7959
12.88,Morning,Weekday,4.0,Medium,Rain,4.81,0.76,0.18,98.13,32.2622
6.63,Afternoon,Weekend,4.0,Medium,Clear,4.08,1.72,0.25,101.28,40.8036
30.92,Morning,Weekday,4.0,Low,Rain,2.47,1.31,0.23,15.73,46.5931
15.14,Morning,Weekday,3.0,Low,Rain,2.73,0.7,0.37,89.96,46.61319999999999
29.48,Morning,Weekday,2.0,Low,Clear,4.53,1.65,0.22,115.39,78.5578
8.56,Night,Weekend,4.0,Medium,Clear,2.63,1.21,0.33,83.03,46.2939
24.58,Afternoon,Weekend,1.0,Medium,Clear,2.22,1.92,0.13,70.61,58.59289999999999
27.1,Afternoon,Weekday,3.0,High,Clear,4.11,1.05,0.18,113.75,53.040000000000006
3.54,Afternoon,Weekend,2.0,Low,Snow,3.21,0.7,0.26,55.94,20.2324
17.49,Afternoon,Weekday,2.0,Low,Clear,4.76,1.28,0.47,73.92,61.8896
7.59,Afternoon,Weekday,2.0,High,Clear,3.95,0.67,0.25,59.78,23.9803
4.11,Afternoon,Weekend,4.0,Low,Snow,2.27,1.9,0.37,112.28,51.6226
49.51,Morning,Weekend,2.0,Medium,Clear,4.84,0.78,0.2,13.75,46.207800000000006
16.8,Afternoon,Weekday,4.0,Medium,Rain,2.78,0.88,0.29,62.63,26.9585
40.68,Morning,Weekday,3.0,Low,Clear,3.01,1.11,0.12,84.0,58.2448
13.48,Afternoon,Weekday,3.0,Low,Rain,3.21,1.07,0.22,96.07,38.769
34.39,Afternoon,Weekday,4.0,Low,Clear,2.15,1.69,0.16,72.05,71.7971
38.25,Morning,Weekday,1.0,Low,Rain,3.49,1.18,0.17,109.53,67.24510000000001
30.19,Morning,Weekday,2.0,Medium,Clear,2.37,0.76,0.4,113.33,70.6464
24.11,Evening,Weekday,2.0,Medium,Clear,3.2,0.9,0.11,12.4,26.263
21.18,Afternoon,Weekday,2.0,Low,Rain,3.05,1.26,0.32,51.27,46.1432
18.09,Morning,Weekday,4.0,Medium,Clear,4.32,0.72,0.25,7.7,19.2698
46.55,Night,Weekday,3.0,High,Clear,4.41,1.42,0.3,42.88,83.375
41.7,Afternoon,Weekday,2.0,Low,Clear,2.46,1.35,0.33,66.74,80.7792
48.29,Afternoon,Weekend,3.0,Medium,Rain,3.1,1.57,0.23,109.74,104.1555
36.81,Morning,Weekday,2.0,Low,Clear,2.45,1.87,0.39,19.66,78.95210000000002
46.98,Morning,Weekend,4.0,Low,Clear,4.4,1.92,0.45,15.7,101.6666
9.88,Morning,Weekend,1.0,Medium,Clear,4.12,0.87,0.18,72.77,25.8142
4.26,Afternoon,Weekend,4.0,Low,Clear,2.57,0.7,0.14,66.19,14.8186
37.31,Morning,Weekday,2.0,High,Clear,3.1,0.95,0.46,35.63,54.9343
29.15,Afternoon,Weekday,2.0,Medium,Clear,2.32,1.84,0.24,108.44,81.9816
39.97,Night,Weekday,3.0,Medium,Rain,4.96,0.67,0.15,107.38,47.846900000000005
